#,Prefix,Suffix,Property
1,Acolyte's,of the Acolyte,The bearer gains a +1 bonus to Wisdom (Religion) checks.
2,Amethyst,of Amethyst,Reduces psychic damage to the bearer by 1.
3,Arboreal,of the Woodlands,"Treat as a +1 armor after the bearer has taken a long rest in a forest. If the bearer leaves the forest, this property becomes temporarily inert."
4,Arid,of the Wastelands,"Treat as a +1 armor after the bearer has taken a long rest in a desert. If the bearer leaves the desert, this property becomes temporarily inert."
5,Astute,of the Astute,It takes half the time to don or doff this armor than a normal armor of this type.
6,Arctic,of the North,The bearer suffers no harm in temperature as cold as -20 degrees Fahrenheit.
7,Artisan's,of the Artisan,"This armor is a swiss army knife of enchanted appendages that can take the form of any artisan's tools, from Alchemist's and Brewer's supplies to Weaver's and Woodcarver's tools (see p. 154 of the PHB for a complete set of artisan's tools)."
8,Barbarian's,of the Barbarian,The bearer gains a +1 bonus to Strength (Athletics) checks.
9,Bard's,of the Bard,The bearer gains +1 to Charisma (Performance) checks.
10,Blessed,of Blessings,"Whenever bearer of this item receives divine healing, they gain an additional 1d4 hit points."
11,Bloodthirsty,of Bloodthirst,The bearer can expend a hit die to turn this into a +1 armor for a number of turns equal to their roll on that die.
12,Burglar's,of the Burglar,The bearer gains +1 to Dexterity (Sleight of Hand) checks.
13,Cavernous,of the Underdark,"Treat as a +1 armor after the bearer has taken a long rest in a cave. If the bearer leaves the cave, this property becomes temporarily inert."
14,Cardinal,of the Lodestone,"The wielder always knows which way is north when on the material plane. When the bearer is on a plane without cardinal directions, they are aware of that absence."
15,Cerulean,of Storms,Reduces lightning damage to the bearer by 1.
16,Channelling,of Channelling,"Once per day, the bearer may ignore the Verbal and/or Somatic components of a spell they are casting."
17,Charitable,of Charity,"If the bearer donates 100gp or more to a temple of a goodly deity, this becomes a +1 armor for the next 24 hours. If they go longer than a month without making any such donations, they gain a -1 AC penalty until a suitable donation is made."
18,Civilized,of the Hearth,"Treat as a +1 armor after the bearer has taken a long rest in an living urban environment. If the bearer leaves the city, this property becomes temporarily inert."
19,Climber's,of the Climber,"This armor is suited with harnesses, rope, and other climbing tools readily in reach. The bearer may treat this armor as a climbing kit."
20,Concealing,of Concealment,The bearer may spend one action assembling components of this armor into a dagger. A person searching the bearer for weapons must make a DC 20 Intelligence (Investigation) check to discover this property.
21,Consecrated,of Consecration,Treat this as a +1 armor when the bearer is being attacked by Undead.
22,Crystalline,of Crystal,"Treat as +1 armor until the bearer takes a critical hit, at which point it loses this property forever."
23,Dancer's,of the Dancer,The bearer gains a +1 bonus to Dexterity (Acrobatics) checks.
24,Dazzling,of Dazzling,"Once per day, the bearer may spend an action to ignite the magic in this armor, causing it to flare brilliantly. Any creature within a 10 foot radius must use their reaction to shield their eyes or be blinded until the end of their next turn."
25,Debtor's,of Debts,"The first 1 bludgeoning, piercing, or slashing damage from any source is negated. However, the total amount of damage prevented from that day accumulates as a negative modifier on death saving throws. So, if the armor prevented 5 points of damage that day, the bearer has a -5 penalty on death saving throws. The penalty resets to zero after a long rest."
26,Defensive,of Defence,"Whenever the wearer takes a dodge action, they gain +1 AC until the end of the turn."
27,Deflecting,of Deflection,The bearer may spend their reaction to gain +1 AC vs. ranged weapon attacks until the beginning of their next turn.
28,Delver's,of the Delver,"While underground, the bearer of this item always knows the item's depth below the surface and the direction to the nearest staircase, ramp, or other path leading upward."
29,Diplomatic,of Diplomacy,"Once per long rest, the bearer can gain proficiency in any language for 24 hours that they are able to correctly speak the activation phrase: ""The limits of my language are the limits of my world."""
30,Druid's,of the Druid,The bearer gains a +1 bonus to Intelligence (Nature) checks.
31,Ephemeral,of Transience,"Once per day, the bearer may spend their reaction to gain their Wisdom modifier to their AC until the beginning of their next turn."
32,Evasive,of Evasion,"Whenever the bearer takes a dodge action, they may move an additional 10 feet."
33,Fair-weather,of Fair-weather,The bearer may treat this as +1 armor if the bearer has more than half of their maximum hit points.
34,False,of Falsehoods,The bearer gains a +1 bonus to Charisma (Deception) checks.
35,Favored,of the Favored,"Once per day, the bearer may roll a saving throw with advantage."
36,Feinting,of Feinting,"Whenever the bearer uses the help action in combat, they may treat this as a +1 armor until the beginning of their next turn."
37,Fen,of the Glade,"Treat as a +1 armor after the bearer has taken a long rest in a swamp. If the bearer leaves the swamp, this property becomes temporarily inert."
38,Flanked,of the Flanked,The wearer may treat this as +1 armor if two or more enemies are adjacent to them.
39,First,of Reflexes,The bearer gain a +1 bonus to initiative rolls
40,Fresh,of Cleansing,"This armor never gets dirty and remains odorless, even in the most filthy dungeon."
41,Forgotten,of the Forgotten,"The bearer may spend an action to attempt to ignite the old magic in this armor with a DC 13 Charisma check. If successful, treat this as a +1 armor as long as the bearer maintains concentration on this effect, maximum 10 minutes."
42,Furious,of Fury,This plain suit of armor takes on a formidable appearance when the bearer goes into a rage. The bearer receives +1 AC when they are raging but -1 AC when they are not.
43,Garnet,of Garnet,Reduces fire damage to the bearer by 1.
44,Glass,of Glass,The bearer may treat this as +1 armor as long as the bearer is at full health.
45,Granite,of the Mountain,Any effect that would move the bearer against their will is reduced in distance by 5 feet.
46,Grim,of Coercion,The bearer gains a +1 bonus to Charisma (Intimidation) checks if their armor is visible.
47,Harmonious,of Harmony,Attuning to this item takes only 1 minute.
48,Heroic,of Heroes,The bearer has advantage on saving throws vs. fear.
49,Histrionic,of Histrionics,the bearer gains +1 to Charisma (Performance) checks.
50,Holy,of Faith,"When the bearer of this item rolls hit dice, they can choose to re-roll them and take the second result."
51,Inquisitor's,of the Inquisitor,The bearer gains a +1 bonus to Intelligence (Investigation) checks.
52,Inspired,of Inspiration,The bearer receives their proficiency bonus in temporary hit points whenever they gain or use inspiration.
53,Invisible,of Invisibility,"Once worn, this armor turns invisible (although not the wearer)."
54,Lightweight,of Mobility,"This armor is 10% lighter than normal armor of this type. If it has a Strength requirement to use, it is reduced by 1."
55,Loquacious,of the Silver Tongue,The bearer gains +1 to Charisma (Persuasion) checks.
56,Mage Killer's,of the Mage Killer,The bearer may spend their reaction to treat this as +1 armor vs. spell attacks until the beginning of their next turn.
57,Malachite,of Malachite,Reduces poison damage to the bearer by 1.
58,Masquarading,of the Masquarade,The bearer has advantage on skill checks involving disguise kits.
59,Medic's,of the Caduceus,"Lined with compartments stocked with medical supplies, the bearer may treat this armor as a healer's kit."
60,Moonlit,of the Moon,The bearer may treat this as +1 armor when moonlight is shining directly on this armor.
61,Mortals',of Mortals,"At the end of a turn where the bearer failed a death saving throw, the magic within this armor will attempt to stabilize the bearer. It rolls a Wisdom (Medicine) check with a +3 modifier."
62,Mournful,of Sorrow,"When an ally falls unconscious in battle, the bearer gains a +1 AC bonus for the next 10 minutes. If that ally stabilizes or awakens, the bearer loses this bonus."
63,Obsidian,of Obsidian,Reduces acid damage to the bearer by 1.
64,Opal,of Opal,Reduces cold damage to the bearer by 1.
65,Pious,of the Pious,"Whenever the bearer shaves their head, treat this as a +1 armor until the end of the day. They must wait a week until they have long enough hair to re-enact this ritual."
66,Prairie,of the Plains,"Treat as a +1 armor after the bearer has taken a long rest in a grassland. If the bearer leaves the grassland, this property becomes temporarily inert."
67,Preacher's,of the Preacher,The bearer may extend the range of their Channel Divinity by 5 feet.
68,Precipice,of the Crags,"Treat as a +1 armor after the bearer has taken a long rest in the mountains. If the bearer leaves the mountain, this property becomes temporarily inert."
69,Primeval,of the Jungle,"Treat as a +1 armor after the bearer has taken a long rest in a jungle. If the bearer leaves the jungle, this property becomes temporarily inert."
70,Reflexive,of Reflexes,"If the bearer is first in initiative order, treat this as +1 armor for 1 minute."
71,Renaissance,of the Renaissance,"Once per day, the bearer may gain +1 to any ability check."
72,Resonant,of Resonance,The bearer can spend an action and 1 ki point to treat this as +1 armor for 1 minute.
73,Righteous,of Righteousness,Treat this as +1 armor during the day when attuned to a good aligned character.
