#,Prefix,Suffix,Property
1,Abyssal,of the Abyss,"When on the plane of the Abyss, the bearer has advantage on saving throws against Abyssal Corruption. (DMG p. 62)"
2,Acolyte's,of the Acolyte,The bearer gains a +1 bonus to Wisdom (Religion) checks.
3,Adamantine,of Adamantine,The item is indestructible.
4,Adroit,of Intellect,The bearer gains +1 bonus to Intelligence saving throws.
5,Alarming,of Alarms,Contains 1d4 unreplenishable charges of the Alarm spell (1st level).
6,Arborean,of Arborea,"When on the plane of Arborea, the bearer has advantage on saving throws against the effects of Intense Yearning. (DMG p. 61)"
7,Arcadian,of Arcadia,"When on the plane of Arcardia, the bearer is unaffected by Planar Vitality (DMG p. 67)"
8,Arctic,of the North,The bearer suffers no harm in temperature as cold as -20 degrees Fahrenheit.
9,Arresting,of Safety,"Once per day, the bearer may use their reaction to reduce fall damage by 1d6 until the end of turn."
10,Assassin's,of the Assassin,The bearer may add their proficiency bonus to damage rolls dealt during surprise rounds.
11,Astral,of the Astral Sea,"When travelling the Astral Sea, it takes half the number of hours to locate a Color Pool to a specific plane. You have advantage on saving throws vs. the effects of Psychic Wind (DMG p. 47-48)"
12,Barbarian's,of the Barbarian,The bearer gains a +1 bonus to Strength (Athletics) checks.
13,Bard's,of the Bard,The bearer gains +1 to Charisma (Performance) checks.
14,Beastial,of the Beastlands,"When on the plane of The Beastlands, the bearer has advantage on saving throws vs. Beast Transformation (DMG p. 60)"
15,Beastspeaker's,of Beastspeakers,Contains 1d4 unreplenishable charges of the Speak with Animals spell (1st level).
16,Benedictine,of Benediction,Contains 1d4 unreplenishable charges of the Healing Word spell (1st level).
17,Blasted,of Blasting,Contains 1d4 unreplenishable charges of the Fire Bolt spell (1st level).
18,Blessed,of Blessings,"Whenever bearer of this item receives divine healing, they gain an additional 1d4 hit points."
19,Bold,of Boldness,Contains 1d4 unreplenishable charges of the Heroism spell (1st level).
20,Bountiful,of Bounty,Contains 1d4 unreplenishable charges of the Goodberry spell (1st level).
21,Burglar's,of the Burglar,The bearer gains +1 to Dexterity (Sleight of Hand) checks.
22,Bytopian,of Bytopia,"When on the plane of Bytopia, the bearer has advantage on saving throws against Pervasive Goodwill. (DMG p. 59-60)"
23,Carcerian,of Carceri,"When on the plane of Carceri, the bearer knows the direction to the closest secret exit from this prison plane. (DMG p. 63)"
24,Cardinal,of the Lodestone,The wielder can use an action to learn which way is north.
25,Cartographic,of Cartography,"On its own volition, the item records a map of the environments that the bearer is exploring, and can magically project it for the bearer to see."
26,Channelling,of Channelling,"Once per day, the bearer may ignore the Verbal and/or Somatic components of a spell they are casting."
27,Chill,of Chills,Contains 1d4 unreplenishable charges of the Ray of Frost spell (1st level).
28,Clockwork,of Gears,"When on the plane of Mechanus, the bearer has advantage on saving throws against Imposing Order (DMG p. 66)"
29,Cloy,of Cloying,The bearer may cast Friends once per day.
30,Compassionate,of Compassion,Contains 1d4 unreplenishable charges of the Cure Wounds spell (1st level).
31,Concordant,of Concordance,The bearer has advantage on saving throws vs. Psychic Dissonance when travelling the Outer Planes. (DMG p. 59)
32,Conjurer's,of the Conjurer,The bearer may cast Prestidigitation once per day.
33,Corrosive,of Dissolving,Contains 1d4 unreplenishable charges of the Acid Splash spell (1st level).
34,Crawling,of Vermin,"The crawling things of the earth, such as insects, snakes, and vermin, are attracted to this item. When placed on the ground, such creatures will scurry toward the item like moths drawn to the flame."
35,Dancer's,of the Dancer,The bearer gains a +1 bonus to Dexterity (Acrobatics) checks.
36,Defensive,of Defence,"Whenever the bearer takes a dodge action, they may move an additional 5 feet."
37,Delver's,of the Delver,"While underground, the bearer of this item always knows the item's depth below the surface and the direction to the nearest staircase, ramp, or other path leading upward."
38,Desperate,of Last Chances,The bearer has advantage on perception checks when searching for items long lost in the the Swamp of Oblivion on the Plane of Earth. (DMG p. 54)
39,Druid's,of the Druid,The bearer gains a +1 bonus to Intelligence (Nature) checks.
40,Drunkard's,of Taverns,The bearer always knows the direction to the closest alcoholic beverage.
41,Dynamic,of the Dynamo,The bearer has +1 to Charisma saving throws.
42,Eavesdropper's,of Eavesdropping,"As long as it is on the same plane, the bearer can hear through this item as if they were present."
43,Elysian,of Elysium,"When on the plane of Elysium, the bearer has advantage on saving throws against the effects of Overwhelming Joy (DMG p. 60)"
44,Etherbound,of Ethereal Shores,The bearer can see creatures in the Border Ethereal that overlap with their plane as clearly as if they were fully in the bearer's plane. Such creatures appear as apparitions or ghosts.
45,Exalting,of Exaltation,Contains 1d4 unreplenishable charges of the Bless spell (1st level).
46,Expeditious,of Expedience,Contains 1d4 unreplenishable charges of the Expeditious Retreat spell.
47,False,of Falsehoods,The bearer gains a +1 bonus to Charisma (Deception) checks.
48,Fathoming,of Tongues,Contains 1d4 unreplenishable charges of the Comprehend Languages spell.
49,Favored,of the Favored,"Once per day, the bearer may roll a saving throw with advantage."
50,Feathered,of Feathers,Contains 1d4 unreplenishable charges of the Feather Fall spell (1st level).
51,Feybound,of the Fey,The bearer knows the general direction to the closest Fey Crossing within a 60 mile radius. (DMG p. 50)
52,First,of Speed,The bearer gain a +1 bonus to initiative rolls
53,Forgiven,of Forgiveness,"When on the plane of Mount Celestia, the bearer of this item can receive the benefits of Blessed Beneficence regardless of their alignment."
54,Fortune Teller's,of the Fortune Teller,"Every time you are hit by a monster, you glimpse a random image of its future or past."
